addr,id,cords,ctr,rank,desc,@img
18 POND VIEW DRIVE,2r50e,"-70.10668,41.24921",11,common,-,/Users/mikebaker/ack_json/common_bg.eps
72 POCHICK AVENUE,9ro22,"-70.07829,41.24902",16,common,-,/Users/mikebaker/ack_json/common_bg.eps
18 SOUTH SHORE ROAD,revyu,"-70.09835,41.25601",209,common,-,/Users/mikebaker/ack_json/common_bg.eps
39 WIGWAM ROAD,o61kz,"-70.03478,41.25118",351,common,-,/Users/mikebaker/ack_json/common_bg.eps
30 AHAB DRIVE,aojaw,"-70.13758,41.25610",381,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 KINIKINNIK WAY,hg676,"-70.09928,41.25140",432,common,-,/Users/mikebaker/ack_json/common_bg.eps
11 CORREIA LANE,8axiz,"-70.10329,41.25430",434,common,-,/Users/mikebaker/ack_json/common_bg.eps
10 PEQUOT STREET,fao0z,"-70.08996,41.24675",547,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
18 SHERBURNE commonS,vfkt4,"-70.10307,41.25638",594,common,-,/Users/mikebaker/ack_json/common_bg.eps
19 GOLDFINCH DRIVE,j8z11,"-70.07220,41.26369",635,common,-,/Users/mikebaker/ack_json/common_bg.eps
132 OLD SOUTH ROAD,mt1hw,"-70.06173,41.26106",688,rare,Nantucket Auto Supply,/Users/mikebaker/ack_json/rare_bg.eps
9 BLUEBIRD LANE,9kcrn,"-70.07425,41.26341",759,common,-,/Users/mikebaker/ack_json/common_bg.eps
181 HUMMOCK POND ROAD,3x8lm,"-70.14180,41.26425",761,common,-,/Users/mikebaker/ack_json/common_bg.eps
33 MACYS LANE,19loi,"-70.06353,41.26330",768,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 TEASDALE CIRCLE,ms729,"-70.06124,41.26256",803,common,-,/Users/mikebaker/ack_json/common_bg.eps
1A BENJAMIN DRIVE,dl9kk,"-70.10170,41.26159",873,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 NOBADEER AVENUE,seazs,"-70.09610,41.24654",1041,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
9 WOOD LILY ROAD,udsij,"-70.09171,41.26157",1096,common,-,/Users/mikebaker/ack_json/common_bg.eps
83 OLD SOUTH ROAD,r6i4q,"-70.07133,41.26168",1197,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 CHICORY PLACE,3zllw,"-70.07781,41.26197",1278,common,-,/Users/mikebaker/ack_json/common_bg.eps
46 APPLETON ROAD,x5afw,"-70.10860,41.26162",1415,common,-,/Users/mikebaker/ack_json/common_bg.eps
90 SURFSIDE ROAD,3miqc,"-70.09865,41.26151",1468,common,-,/Users/mikebaker/ack_json/common_bg.eps
13B WITHERSPOON DRIVE,tuage,"-70.07162,41.26335",1497,common,-,/Users/mikebaker/ack_json/common_bg.eps
5 WHITE STREET,rynoh,"-70.08501,41.25252",1782,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
70 MIACOMET ROAD,u2knm,"-70.10754,41.25488",1803,common,-,/Users/mikebaker/ack_json/common_bg.eps
60 NOBADEER AVENUE,zpymt,"-70.08051,41.24569",1852,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
49 NOBADEER AVENUE,3ico5,"-70.08237,41.24505",1860,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
22 WALBANG AVENUE,qjjei,"-70.14140,41.25044",1866,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
26 MONOHANSETT ROAD,cpsa5,"-70.07328,41.25263",1968,common,-,/Users/mikebaker/ack_json/common_bg.eps
74 SOMERSET ROAD,68371,"-70.11638,41.26544",2015,common,-,/Users/mikebaker/ack_json/common_bg.eps
6B ESSEX ROAD,hgt1q,"-70.10370,41.26687",2028,common,-,/Users/mikebaker/ack_json/common_bg.eps
13 FRIENDSHIP LANE,g1nlx,"-70.10910,41.26816",2046,common,-,/Users/mikebaker/ack_json/common_bg.eps
4 PALMER FARM,8ljdw,"-70.15162,41.26954",2060,common,-,/Users/mikebaker/ack_json/common_bg.eps
33 1/2 BARTLETT ROAD,kljlw,"-70.10710,41.26712",2186,common,-,/Users/mikebaker/ack_json/common_bg.eps
22 SESAPANA ROAD,ia7w8,"-70.06993,41.26693",2205,common,-,/Users/mikebaker/ack_json/common_bg.eps
2 THIRTY ACRES LANE,vm8iq,"-70.10246,41.26687",2254,epic,Land Rover Repair,/Users/mikebaker/ack_json/epic_bg.eps
7 PERRY LANE,3ff6p,"-70.10580,41.26630",2296,common,-,/Users/mikebaker/ack_json/common_bg.eps
13B PARK CIRCLE,iovr9,"-70.05993,41.26598",2417,common,-,/Users/mikebaker/ack_json/common_bg.eps
15 1/2 MARY ANN DRIVE,t63qd,"-70.06526,41.26419",2501,common,-,/Users/mikebaker/ack_json/common_bg.eps
7 TOMS WAY,l48m7,"-70.08529,41.26545",2565,common,-,/Users/mikebaker/ack_json/common_bg.eps
34R HOOPER FARM ROAD,1qw57,"-70.09383,41.26760",2674,common,-,/Users/mikebaker/ack_json/common_bg.eps
41D OLD SOUTH ROAD,zlk53,"-70.08226,41.26612",2685,common,-,/Users/mikebaker/ack_json/common_bg.eps
9 CEDAR CIRCLE,ivyqp,"-70.10324,41.26858",2746,common,-,/Users/mikebaker/ack_json/common_bg.eps
2 MACLEAN LANE,fy2aq,"-70.10053,41.26914",2855,common,-,/Users/mikebaker/ack_json/common_bg.eps
14A CYNTHIA LANE,lpfgt,"-70.10582,41.26575",2862,common,-,/Users/mikebaker/ack_json/common_bg.eps
31R HOOPER FARM ROAD,ryl0a,"-70.09405,41.26847",2954,common,-,/Users/mikebaker/ack_json/common_bg.eps
32 HINSDALE ROAD,nv7zq,"-70.07581,41.26691",2979,common,-,/Users/mikebaker/ack_json/common_bg.eps
9A NORQUARTA DRIVE,xj8kj,"-70.10099,41.26018",3273,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 MILLER LANE,9el6e,"-70.06774,41.25909",3358,epic,Nantucket Inn,/Users/mikebaker/ack_json/epic_bg.eps
192 HUMMOCK POND ROAD,unura,"-70.13864,41.26128",3378,common,-,/Users/mikebaker/ack_json/common_bg.eps
22 AHAB DRIVE,34uo1,"-70.13820,41.25751",3418,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 MILES COURT,8k68i,"-70.07886,41.25996",3466,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 STURGIS PINE LANE,sgr1t,"-70.08759,41.25885",3478,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
20 LOVERS LANE,1rsd8,"-70.07910,41.26079",3605,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 MILLER LANE,k9457,"-70.06639,41.25852",3650,dupe,-,/Users/mikebaker/ack_json/common_bg.eps
1 MILLER LANE,k2ywq,"-70.06639,41.25852",3657,dupe,-,/Users/mikebaker/ack_json/common_bg.eps
107 HUMMOCK POND ROAD,ukow2,"-70.12387,41.26953",3714,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 BLUE FLAG PATH,su438,"-70.09123,41.26079",3785,common,-,/Users/mikebaker/ack_json/common_bg.eps
20 SESAPANA ROAD,n7cgc,"-70.06936,41.26694",3807,common,-,/Users/mikebaker/ack_json/common_bg.eps
19 GOLF VIEW DRIVE,7aycl,"-70.12612,41.26066",3900,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 MILLER LANE,vj9ct,"-70.06759,41.25928",3971,dupe,-,/Users/mikebaker/ack_json/common_bg.eps
133B OLD SOUTH ROAD,ba1bs,"-70.06314,41.26046",3987,common,-,/Users/mikebaker/ack_json/common_bg.eps
24 MIZZENMAST EXTENSION,5cqtd,"-70.10975,41.26135",4089,common,-,/Users/mikebaker/ack_json/common_bg.eps
7 GARDNER PERRY LANE,etads,"-70.09844,41.27541",4204,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
3 CATO LANE,jdz0w,"-70.10585,41.27641",4258,common,-,/Users/mikebaker/ack_json/common_bg.eps
1D FREEDOM SQUARE,ccjxm,"-70.09465,41.27418",4346,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
57 PROSPECT STREET,31n1o,"-70.10145,41.27518",4356,Legendary,Nantucket Cottage Hospital,/Users/mikebaker/ack_json/legendary_bg.eps
50 MILESTONE ROAD,yprfi,"-70.06861,41.27122",4633,common,-,/Users/mikebaker/ack_json/common_bg.eps
5 BEAR STREET,w0qzk,"-70.09404,41.27519",4643,common,-,/Users/mikebaker/ack_json/common_bg.eps
12 WASHINGTON AVENUE,8ls4x,"-70.19904,41.27259",4753,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
